Table 1,,,,,,,,
,,,,,,,,
,Rank,Drug (brand name),"Sales, 2013",side effects,,,,
,1,Abilify,"$6,460,215,394","nausea,consipation,vomiting,stomach pain, dry mouth, fatigue, headache, dizziness, restlessness, tremor, sleepiness, anxiety, insomnia, extrapyramidal symptoms",,,,
,2,Nexium,"$6,135,667,614","Back pain, chest pain, stomach pain, constipation, diarrhea, hiccup",,,,
,3,Humira,"$5,549,996,855","Headache,rash,injection site reaction,back pain, urinary tract infection, nausea,stomach pain,flu symptoms",,,,
,4,Crestor,"$5,310,818,889","joint pain, headache, stomach pain,fatigue,constipation ",,,,
,5,Cymbalta,"$5,219,860,418","Nausea,dry mouth, fatigue, sleepiness,insomnia,constipation,stomach pain, dizziness,diarrhea,decreased appetite",,,,
,6,Advair Diskus,"$5,121,312,668","nausea, vomiting,cough,headache,muscle pain,bone pain,voice changes,throat irritation,flu symptoms, thrush in mouth and throat",,,,
,7,Enbrel,"$4,681,201,645","Upper respiratory infection, injection site reaction, diarrhea,rash",,,,
,8,Remicade,"$4,098,233,242","respiratory infection,headache,coughing,stomach pain,rash,itching,chills,chest pain,shortness of breath,sore throat",,,,
,9,Copaxone,"$3,697,182,238","redness,swelling,itching,injection site reaction,flushing,rash,shortness of breath, check pain",,,,
,10,Neulasta,"$3,580,364,758","injection site reaction, bone  pain, joint pain",,,,
,11,Rituxan,"$3,288,614,045","infusion site reaction,chills,infection,body ache, tiredness",,,,
,12,Lantus Solostar,"$3,005,681,663","joint pain,diarrhea,headache,depression,back pain,upper respiratory tract infection, urinary tract infection,hypertension,rash",,,,
,13,Spiriva Handihaler,"$2,998,207,542","dry mouth, dizziness,blurred vision,constipation,urinary tract trouble passing ",,,,
,14,Atripla,"$2,856,818,557","tiredness,stomach pain,upset stomach,vomiting,gas,diarrhea,shortness of breath,weakness,indigestion,swelling of face,swelling of lips, swelling of tongue,swelling of throat,freckles,infection",,,,
,15,Januvia,"$2,843,496,907","upper respiratory infection,runny nose,sore throat,headache,upset stomach,swelling of hands,swelling of legs,low blood sugar",,,,
,16,Avastin,"$2,688,414,938","gastrointestinal perforation,wounds that don’t heal,serious bleeding,stroke, heart problems,high blood pressure, headache,seizure,sluggishness,confusion,blindness,kidney problems,infusion reaction,fertility problems in women,nosebleeds,taste change,dry skin,rectal bleeding,tear production disorder,back pain,inflammation of the skim",,,,
,17,Lantus,"$2,556,825,619","hypoglycemia,upper respiratory infection,hypertension,sinusitis,cataract,bone pain,joint pain,back pain, cough,diarrhea,depression,headache",,,,
,18,Oxycontin,"$2,534,909,675","constipation,nausea,sleepiness,dizziness,vomiting,headache,dry mouth,fatigue,sweating,stomach pain,rash,diarrhea,addiction",,,,
,19,Lyrica,"$2,415,254,835","dizziness,blurred vision,weight gain,suicidal thoughts,anxiety,restlessness,insomnia,anxiety,anger,irritability,anger,trouble concentrating,dry mouth, feeling high, hives,rash",,,,
,20,Epogen,"$2,280,696,834","joint pain, muscle pain,bone pain,fever,cough,rash,nausea,vomiting,itching,headache,soreness of mouth,redness of injection site",,,,
,21,Celebrex,"$2,237,658,764","stomach pain,diarrhea,gas,back pain,headache, dizziness,insomnia,upper respiratory infection,rash,nausea",,,,
,22,Truvada,"$2,235,712,145","diarrhea,nausea,tiredness,headache,dizziness,depression,insomnia,abnormal dreams,rash,weight loss",,,,
,23,Diovan,"$2,169,819,482","headache,dizziness,flu symptoms,tiredness,stomach pain,dry mouth,rash,col-like symptoms",,,,
,24,Herceptin,"$1,938,804,857","high blood pressure,irregular heartbeat,heart attack,allergic reaction,lung problems,shortness of breath,nausea,fever,chills,vomiting,headache,dizziness,low blood pressure,lack of energy",,,,
,25,Gleevec,"$1,896,982,614","fluid retention,skin blisters,liver problems,abnormal bleeding,muscle cramps,stomach pain,loss of appetite,vomiting,diarrhea,nausea,fatigue,rash",,,,
,26,Lucentis,"$1,859,463,484","increased redness in white part of eye,specks in vision,increased eye pressure,nose infection, throat infection,headache,joint pain,lung infection",,,,
,27,Namenda,"$1,856,822,750","dizziness,confusion,headache,constipation",,,,
,28,Vyvanse,"$1,743,115,521","anxiety,decreased appetite,diarrhea,dizziness,dry mouth,irritability,loss of appetite,nausea,insomnia,stomach pain,vomiting,weight loss, modd change,depression,manic behavior,slow growth",,,,
,29,Zetia,"$1,710,526,476","diarrhea,joint pain,tiredness,swelling of face, swelling of lips,swelling of tongue,swelling of throat,rash,hives,stomach pain,nausea,dizziness,depression,tingling sensation,headache",,,,
,30,Symbicort,"$1,563,242,161","nasal congestion,throat irritation,rash,hives,depression,diarrhea,stomach pain,vision changes, white patches in mouth or throat,wheezing,shortness of breath ",,,,
,31,Levemir,"$1,547,629,745","hypoglycemia,sweating,shakiness,confusion,headache,trouble breathing,fast heartbeat,selliing,rash,injection site reactions, weight gain,heart failure",,,,
,32,Suboxone,"$1,450,554,130","nausea,vomiting,drug withdrawal syndrome,headache,sweating,constipation,redness of mouth,lightheadedness,blurred vision,back pain,fainting,dizziness,sleepiness,numb mouth",,,,
,33,Novolog Flexpen,"$1,377,221,614","low potassium,anxiety,irritability,mood chnages,dizziness,sweating,confusion,headache,injection site reaction,rash,skin thickening,weight gain,swelling of hands or feet",,,,
,34,Novolog,"$1,349,403,122","ow potassium,anxiety,irritability,mood chnages,dizziness,sweating,confusion,headache,injection site reaction,rash,skin thickening,weight gain,swelling of hands or feet",,,,
,35,Avonex,"$1,240,754,136","flu symptoms, muscle aches,fever,tiredness,chills,painful urination,bloody diarrhea,coughing up mucous,feeling cold, feeling hot, weight loss, weight gain,low blood pressure,abnormal heart beat,chest pain, heart attack",,,,
,36,Seroquel Xr,"$1,226,532,019","weight gain,drowsiness,dry mouth,constipation,dizziness,increased appetite,stomach pain,fatigue,speech problems,stuffy nose",,,,
,37,Viagra,"$1,196,812,385","headache,facial flushing,stomach ache,bluish vision,blurred vision,sensitivity to light",,,,
,38,Alimta,"$1,192,134,813","Stomach pain,nausea,vomiting,diarrhea,constipation,tiredness,redness in mouth, soreness in mouth, loss of appetite,rash",,,,
,39,Humalog,"$1,184,189,487","low blood sugar,allergic reaction,injection site reaction,skin thickening,weight gain,swelling of hands, swelling of feet,shortness of breath",,,,
,40,Nasonex,"$1,137,402,455","headache,viral infection,sore throat,nosebleeds,coughing, fever,pain, aches, chills, tiredness,nausea,vomiting,cataracts,glaucoma",,,,
